Authors,Primary Category,Published,Summary,Title,Updated
"Martin Glauer, Robert West, Susan Michie, Janna Hastings",AI,2022,"We describe a novel approach to explainable prediction of a continuous
variable based on learning fuzzy weighted rules. Our model trains a set of
weighted rules to maximise prediction accuracy and minimise an ontology-based
'semantic loss' function including user-specified constraints on the rules that
should be learned in order to maximise the explainability of the resulting rule
set from a user perspective. This system fuses quantitative sub-symbolic
learning with symbolic learning and constraints based on domain knowledge. We
illustrate our system on a case study in predicting the outcomes of behavioural
interventions for smoking cessation, and show that it outperforms other
interpretable approaches, achieving performance close to that of a deep
learning model, while offering transparent explainability that is an essential
requirement for decision-makers in the health domain.","ESC-Rules: Explainable, Semantically Constrained Rule Sets",2022
Sophia Sun,AI,2022,"Machine learning methods are increasingly widely used in high-risk settings
such as healthcare, transportation, and finance. In these settings, it is
important that a model produces calibrated uncertainty to reflect its own
confidence and avoid failures. In this paper we survey recent works on
uncertainty quantification (UQ) for deep learning, in particular
distribution-free Conformal Prediction method for its mathematical properties
and wide applicability. We will cover the theoretical guarantees of conformal
methods, introduce techniques that improve calibration and efficiency for UQ in
the context of spatiotemporal data, and discuss the role of UQ in the context
of safe decision making.",Conformal Methods for Quantifying Uncertainty in Spatiotemporal Data: A Survey,2022
"Rajeswari Chengoden, Nancy Victor, Thien Huynh-The, Gokul Yenduri, Rutvij H. Jhaveri, Mamoun Alazab, Sweta Bhattacharya, Pawan Hegde, Praveen Kumar Reddy Maddikunta, Thippa Reddy Gadekallu",AI,2022,"The rapid progress in digitalization and automation have led to an
accelerated growth in healthcare, generating novel models that are creating new
channels for rendering treatment with reduced cost. The Metaverse is an
emerging technology in the digital space which has huge potential in
healthcare, enabling realistic experiences to the patients as well as the
medical practitioners. The Metaverse is a confluence of multiple enabling
technologies such as artificial intelligence, virtual reality, augmented
reality, internet of medical devices, robotics, quantum computing, etc. through
which new directions for providing quality healthcare treatment and services
can be explored. The amalgamation of these technologies ensures immersive,
intimate and personalized patient care. It also provides adaptive intelligent
solutions that eliminates the barriers between healthcare providers and
receivers. This article provides a comprehensive review of the Metaverse for
healthcare, emphasizing on the state of the art, the enabling technologies for
adopting the Metaverse for healthcare, the potential applications and the
related projects. The issues in the adaptation of the Metaverse for healthcare
applications are also identified and the plausible solutions are highlighted as
part of future research directions.","Metaverse for Healthcare: A Survey on Potential Applications, Challenges and Future Directions",2022
"Jiawei Zheng, Petros Papapanagiotou, Jacques D. Fleuriot",AI,2022,"Conformance checking techniques allow us to evaluate how well some exhibited
behaviour, represented by a trace of monitored events, conforms to a specified
process model. Modern monitoring and activity recognition technologies, such as
those relying on sensors, the IoT, statistics and AI, can produce a wealth of
relevant event data. However, this data is typically characterised by noise and
uncertainty, in contrast to the assumption of a deterministic event log
required by conformance checking algorithms. In this paper, we extend
alignment-based conformance checking to function under a probabilistic event
log. We introduce a weighted trace model and weighted alignment cost function,
and a custom threshold parameter that controls the level of confidence on the
event data vs. the process model. The resulting algorithm considers activities
of lower but sufficiently high probability that better align with the process
model. We explain the algorithm and its motivation both from formal and
intuitive perspectives, and demonstrate its functionality in comparison with
deterministic alignment using real-life datasets.",Alignment-based conformance checking over probabilistic events,2023
"David Piorkowski, Michael Hind, John Richards",AI,2022,"Although AI-based systems are increasingly being leveraged to provide value
to organizations, individuals, and society, significant attendant risks have
been identified. These risks have led to proposed regulations, litigation, and
general societal concerns.
  As with any promising technology, organizations want to benefit from the
positive capabilities of AI technology while reducing the risks. The best way
to reduce risks is to implement comprehensive AI lifecycle governance where
policies and procedures are described and enforced during the design,
development, deployment, and monitoring of an AI system. While support for
comprehensive governance is beginning to emerge, organizations often need to
identify the risks of deploying an already-built model without knowledge of how
it was constructed or access to its original developers.
  Such an assessment will quantitatively assess the risks of an existing model
in a manner analogous to how a home inspector might assess the energy
efficiency of an already-built home or a physician might assess overall patient
health based on a battery of tests. This paper explores the concept of a
quantitative AI Risk Assessment, exploring the opportunities, challenges, and
potential impacts of such an approach, and discussing how it might improve AI
regulations.",Quantitative AI Risk Assessments: Opportunities and Challenges,2023
"Maria Krantz, Alexander Windmann, Rene Heesch, Lukas Moddemann, Oliver Niggemann",AI,2022,"The increasing complexity of Cyber-Physical Systems (CPS) makes industrial
automation challenging. Large amounts of data recorded by sensors need to be
processed to adequately perform tasks such as diagnosis in case of fault. A
promising approach to deal with this complexity is the concept of causality.
However, most research on causality has focused on inferring causal relations
between parts of an unknown system. Engineering uses causality in a
fundamentally different way: complex systems are constructed by combining
components with known, controllable behavior. As CPS are constructed by the
second approach, most data-based causality models are not suited for industrial
automation. To bridge this gap, a Uniform Causality Model for various
application areas of industrial automation is proposed, which will allow better
communication and better data usage across disciplines. The resulting model
describes the behavior of CPS mathematically and, as the model is evaluated on
the unique requirements of the application areas, it is shown that the Uniform
Causality Model can work as a basis for the application of new approaches in
industrial automation that focus on machine learning.",On a Uniform Causality Model for Industrial Automation,2022
"Gideon Vos, Kelly Trinh, Zoltan Sarnyai, Mostafa Rahimi Azghadi",AI,2022,"Introduction. The stress response has both subjective, psychological and
objectively measurable, biological components. Both of them can be expressed
differently from person to person, complicating the development of a generic
stress measurement model. This is further compounded by the lack of large,
labeled datasets that can be utilized to build machine learning models for
accurately detecting periods and levels of stress. The aim of this review is to
provide an overview of the current state of stress detection and monitoring
using wearable devices, and where applicable, machine learning techniques
utilized.
  Methods. This study reviewed published works contributing and/or using
datasets designed for detecting stress and their associated machine learning
methods, with a systematic review and meta-analysis of those that utilized
wearable sensor data as stress biomarkers. The electronic databases of Google
Scholar, Crossref, DOAJ and PubMed were searched for relevant articles and a
total of 24 articles were identified and included in the final analysis. The
reviewed works were synthesized into three categories of publicly available
stress datasets, machine learning, and future research directions.
  Results. A wide variety of study-specific test and measurement protocols were
noted in the literature. A number of public datasets were identified that are
labeled for stress detection. In addition, we discuss that previous works show
shortcomings in areas such as their labeling protocols, lack of statistical
power, validity of stress biomarkers, and generalization ability.
  Conclusion. Generalization of existing machine learning models still require
further study, and research in this area will continue to provide improvements
as newer and more substantial datasets become available for study.",Generalizable machine learning for stress monitoring from wearable devices: A systematic literature review,2023
"Richard G. Freedman, Joseph B. Mueller, Jack Ladwig, Steven Johnston, David McDonald, Helen Wauck, Ruta Wheelock, Hayley Borck",AI,2022,"Robots that interact with humans in a physical space or application need to
think about the person's posture, which typically comes from visual sensors
like cameras and infra-red. Artificial intelligence and machine learning
algorithms use information from these sensors either directly or after some
level of symbolic abstraction, and the latter usually partitions the range of
observed values to discretize the continuous signal data. Although these
representations have been effective in a variety of algorithms with respect to
accuracy and task completion, the underlying models are rarely interpretable,
which also makes their outputs more difficult to explain to people who request
them. Instead of focusing on the possible sensor values that are familiar to a
machine, we introduce a qualitative spatial reasoning approach that describes
the human posture in terms that are more familiar to people. This paper
explores the derivation of our symbolic representation at two levels of detail
and its preliminary use as features for interpretable activity recognition.",A Symbolic Representation of Human Posture for Interpretable Learning and Reasoning,2022
"Chun-Kit Ngan, Alexander Brodsky",AI,2022,"We propose a Web-Mashup Application Service Framework for Multivariate Time
Series Analytics (MTSA) that supports the services of model definitions,
querying, parameter learning, model evaluations, data monitoring, decision
recommendations, and web portals. This framework maintains the advantage of
combining the strengths of both the domain-knowledge-based and the
formal-learning-based approaches and is designed for a more general class of
problems over multivariate time series. More specifically, we identify a
general-hybrid-based model, MTSA-Parameter Estimation, to solve this class of
problems in which the objective function is maximized or minimized from the
optimal decision parameters regardless of particular time points. This model
also allows domain experts to include multiple types of constraints, e.g.,
global constraints and monitoring constraints. We further extend the MTSA data
model and query language to support this class of problems for the services of
learning, monitoring, and recommendation. At the end, we conduct an
experimental case study for a university campus microgrid as a practical
example to demonstrate our proposed framework, models, and language.",Optimal Event Monitoring through Internet Mashup over Multivariate Time Series,2022
"Gyunam Park, Wil. M. P. van der Aalst",AI,2022,"Constraint monitoring aims to monitor the violation of constraints in
business processes, e.g., an invoice should be cleared within 48 hours after
the corresponding goods receipt, by analyzing event data. Existing techniques
for constraint monitoring assume that a single case notion exists in a business
process, e.g., a patient in a healthcare process, and each event is associated
with the case notion. However, in reality, business processes are
object-centric, i.e., multiple case notions (objects) exist, and an event may
be associated with multiple objects. For instance, an Order-To-Cash (O2C)
process involves order, item, delivery, etc., and they interact when executing
an event, e.g., packing multiple items together for a delivery. The existing
techniques produce misleading insights when applied to such object-centric
business processes. In this work, we propose an approach to monitoring
constraints in object-centric business processes. To this end, we introduce
Object-Centric Constraint Graphs (OCCGs) to represent constraints that consider
the interaction of objects. Next, we evaluate the constraints represented by
OCCGs by analyzing Object-Centric Event Logs (OCELs) that store the interaction
of different objects in events. We have implemented a web application to
support the proposed approach and conducted two case studies using a real-life
SAP ERP system.",Monitoring Constraints in Business Processes Using Object-Centric Constraint Graphs,2022
"Liang Peng, Boqi Li, Wenhao Yu, Kai Yang, Wenbo Shao, Hong Wang",AI,2022,"Autonomous driving confronts great challenges in complex traffic scenarios,
where the risk of Safety of the Intended Functionality (SOTIF) can be triggered
by the dynamic operational environment and system insufficiencies. The SOTIF
risk is reflected not only intuitively in the collision risk with objects
outside the autonomous vehicles (AVs), but also inherently in the performance
limitation risk of the implemented algorithms themselves. How to minimize the
SOTIF risk for autonomous driving is currently a critical, difficult, and
unresolved issue. Therefore, this paper proposes the ""Self-Surveillance and
Self-Adaption System"" as a systematic approach to online minimize the SOTIF
risk, which aims to provide a systematic solution for monitoring,
quantification, and mitigation of inherent and external risks. The core of this
system is the risk monitoring of the implemented artificial intelligence
algorithms within the AV. As a demonstration of the Self-Surveillance and
Self-Adaption System, the risk monitoring of the perception algorithm, i.e.,
YOLOv5 is highlighted. Moreover, the inherent perception algorithm risk and
external collision risk are jointly quantified via SOTIF entropy, which is then
propagated downstream to the decision-making module and mitigated. Finally,
several challenging scenarios are demonstrated, and the Hardware-in-the-Loop
experiments are conducted to verify the efficiency and effectiveness of the
system. The results demonstrate that the Self-Surveillance and Self-Adaption
System enables dependable online monitoring, quantification, and mitigation of
SOTIF risk in real-time critical traffic environments.",SOTIF Entropy: Online SOTIF Risk Quantification and Mitigation for Autonomous Driving,2022
"Sergey Zeltyn, Segev Shlomov, Avi Yaeli, Alon Oved",AI,2022,"Business processes that involve AI-powered automation have been gaining
importance and market share in recent years. These business processes combine
the characteristics of classical business process management, goal-driven
chatbots, conversational recommendation systems, and robotic process
automation. In the new context, prescriptive process monitoring demands
innovative approaches. Unfortunately, data logs from these new processes are
still not available in the public domain. We describe the main challenges in
this new domain and introduce a synthesized dataset that is based on an actual
use case of intelligent process automation with chatbot orchestration. Using
this dataset, we demonstrate crowd-wisdom and goal-driven approaches to
prescriptive process monitoring.",Prescriptive Process Monitoring in Intelligent Process Automation with Chatbot Orchestration,2022
"Abdulaziz Ahmed, Mohammed Al-Maamari, Mohammad Firouz, Dursun Delen",AI,2022,"Patient triage at emergency departments (EDs) is necessary to prioritize care
for patients with critical and time-sensitive conditions. Different tools are
used for patient triage and one of the most common ones is the emergency
severity index (ESI), which has a scale of five levels, where level 1 is the
most urgent and level 5 is the least urgent. This paper proposes a framework
for utilizing machine learning to develop an e-triage tool that can be used at
EDs. A large retrospective dataset of ED patient visits is obtained from the
electronic health record of a healthcare provider in the Midwest of the US for
three years. However, the main challenge of using machine learning algorithms
is that most of them have many parameters and without optimizing these
parameters, developing a high-performance model is not possible. This paper
proposes an approach to optimize the hyperparameters of machine learning. The
metaheuristic optimization algorithms simulated annealing (SA) and adaptive
simulated annealing (ASA) are proposed to optimize the parameters of extreme
gradient boosting (XGB) and categorical boosting (CaB). The newly proposed
algorithms are SA-XGB, ASA-XGB, SA-CaB, ASA-CaB. Grid search (GS), which is a
traditional approach used for machine learning fine-tunning is also used to
fine-tune the parameters of XGB and CaB, which are named GS-XGB and GS-CaB. The
six algorithms are trained and tested using eight data groups obtained from the
feature selection phase. The results show ASA-CaB outperformed all the proposed
algorithms with accuracy, precision, recall, and f1 of 83.3%, 83.2%, 83.3%,
83.2%, respectively.",An Adaptive Simulated Annealing-Based Machine Learning Approach for Developing an E-Triage Tool for Hospital Emergency Operations,2022
"Ritesh Chandra, Sadhana Tiwari, Sonali Agarwal, Navjot Singh",AI,2023,"Vector-borne diseases (VBDs) are a kind of infection caused through the
transmission of vectors generated by the bites of infected parasites, bacteria,
and viruses, such as ticks, mosquitoes, triatomine bugs, blackflies, and
sandflies. If these diseases are not properly treated within a reasonable time
frame, the mortality rate may rise. In this work, we propose a set of
ontologies that will help in the diagnosis and treatment of vector-borne
diseases. For developing VBD's ontology, electronic health records taken from
the Indian Health Records website, text data generated from Indian government
medical mobile applications, and doctors' prescribed handwritten notes of
patients are used as input. This data is then converted into correct text using
Optical Character Recognition (OCR) and a spelling checker after
pre-processing. Natural Language Processing (NLP) is applied for entity
extraction from text data for making Resource Description Framework (RDF)
medical data with the help of the Patient Clinical Data (PCD) ontology.
Afterwards, Basic Formal Ontology (BFO), National Vector Borne Disease Control
Program (NVBDCP) guidelines, and RDF medical data are used to develop
ontologies for VBDs, and Semantic Web Rule Language (SWRL) rules are applied
for diagnosis and treatment. The developed ontology helps in the construction
of decision support systems (DSS) for the NVBDCP to control these diseases.",Semantic rule Web-based Diagnosis and Treatment of Vector-Borne Diseases using SWRL rules,2023
"Ignacio Vellido, Juan Fdez-Olivares, Raúl Pérez",AI,2023,"World wide transport authorities are imposing complex Hours of Service
regulations to drivers, which constraint the amount of working, driving and
resting time when delivering a service. As a consequence, transport companies
are responsible not only of scheduling driving plans aligned with laws that
define the legal behaviour of a driver, but also of monitoring and identifying
as soon as possible problematic patterns that can incur in costs due to
sanctions. Transport experts are frequently in charge of many drivers and lack
time to analyse the vast amount of data recorded by the onboard sensors, and
companies have grown accustomed to pay sanctions rather than predict and
forestall wrongdoings. This paper exposes an application for summarising raw
driver activity logs according to these regulations and for explaining driver
behaviour in a human readable format. The system employs planning, constraint,
and clustering techniques to extract and describe what the driver has been
doing while identifying infractions and the activities that originate them.
Furthermore, it groups drivers based on similar driving patterns. An
experimentation in real world data indicates that recurring driving patterns
can be clustered from short basic driving sequences to whole drivers working
days.",Discovering and Explaining Driver Behaviour under HoS Regulations,2023
"Paritosh Verma, Shresth Verma, Aditya Mate, Aparna Taneja, Milind Tambe",AI,2023,"Restless multi-arm bandits (RMABs) is a popular decision-theoretic framework
that has been used to model real-world sequential decision making problems in
public health, wildlife conservation, communication systems, and beyond.
Deployed RMAB systems typically operate in two stages: the first predicts the
unknown parameters defining the RMAB instance, and the second employs an
optimization algorithm to solve the constructed RMAB instance.
  In this work we provide and analyze the results from a first-of-its-kind
deployment of an RMAB system in public health domain, aimed at improving
maternal and child health. Our analysis is focused towards understanding the
relationship between prediction accuracy and overall performance of deployed
RMAB systems. This is crucial for determining the value of investing in
improving predictive accuracy towards improving the final system performance,
and is useful for diagnosing, monitoring deployed RMAB systems.
  Using real-world data from our deployed RMAB system, we demonstrate that an
improvement in overall prediction accuracy may even be accompanied by a
degradation in the performance of RMAB system -- a broad investment of
resources to improve overall prediction accuracy may not yield expected
results. Following this, we develop decision-focused evaluation metrics to
evaluate the predictive component and show that it is better at explaining
(both empirically and theoretically) the overall performance of a deployed RMAB
system.",Decision-Focused Evaluation: Analyzing Performance of Deployed Restless Multi-Arm Bandits,2023
Hiroyuki Kido,AI,2023,"This paper gives a simple theory of inference to logically reason symbolic
knowledge fully from data over time. We take a Bayesian approach to model how
data causes symbolic knowledge. Probabilistic reasoning with symbolic knowledge
is modelled as a process of going the causality forwards and backwards. The
forward and backward processes correspond to an interpretation and inverse
interpretation of formal logic, respectively. The theory is applied to a
localisation problem to show a robot with broken or noisy sensors can
efficiently solve the problem in a fully data-driven fashion.",Generative Logic with Time: Beyond Logical Consistency and Statistical Possibility,2023
"Roberto Verdecchia, June Sallou, Luís Cruz",AI,2023,"With the ever-growing adoption of AI-based systems, the carbon footprint of
AI is no longer negligible. AI researchers and practitioners are therefore
urged to hold themselves accountable for the carbon emissions of the AI models
they design and use. This led in recent years to the appearance of researches
tackling AI environmental sustainability, a field referred to as Green AI.
Despite the rapid growth of interest in the topic, a comprehensive overview of
Green AI research is to date still missing. To address this gap, in this paper,
we present a systematic review of the Green AI literature. From the analysis of
98 primary studies, different patterns emerge. The topic experienced a
considerable growth from 2020 onward. Most studies consider monitoring AI model
footprint, tuning hyperparameters to improve model sustainability, or
benchmarking models. A mix of position papers, observational studies, and
solution papers are present. Most papers focus on the training phase, are
algorithm-agnostic or study neural networks, and use image data. Laboratory
experiments are the most common research strategy. Reported Green AI energy
savings go up to 115%, with savings over 50% being rather common. Industrial
parties are involved in Green AI studies, albeit most target academic readers.
Green AI tool provisioning is scarce. As a conclusion, the Green AI research
field results to have reached a considerable level of maturity. Therefore, from
this review emerges that the time is suitable to adopt other Green AI research
strategies, and port the numerous promising academic results to industrial
practice.",A Systematic Review of Green AI,2023
"Zhaoyang Chen, Lina Siltala-Li, Mikko Lassila, Pekka Malo, Eeva Vilkkumaa, Tarja Saaresranta, Arho Veli Virkki",AI,2023,"Background: Obstructive sleep apnea (OSA) is growing increasingly prevalent
in many countries as obesity rises. Sufficient, effective treatment of OSA
entails high social and financial costs for healthcare. Objective: For
treatment purposes, predicting OSA patients' visit expenses for the coming year
is crucial. Reliable estimates enable healthcare decision-makers to perform
careful fiscal management and budget well for effective distribution of
resources to hospitals. The challenges created by scarcity of high-quality
patient data are exacerbated by the fact that just a third of those data from
OSA patients can be used to train analytics models: only OSA patients with more
than 365 days of follow-up are relevant for predicting a year's expenditures.
Methods and procedures: The authors propose a method applying two Transformer
models, one for augmenting the input via data from shorter visit histories and
the other predicting the costs by considering both the material thus enriched
and cases with more than a year's follow-up. Results: The two-model solution
permits putting the limited body of OSA patient data to productive use.
Relative to a single-Transformer solution using only a third of the
high-quality patient data, the solution with two models improved the prediction
performance's $R^{2}$ from 88.8% to 97.5%. Even using baseline models with the
model-augmented data improved the $R^{2}$ considerably, from 61.6% to 81.9%.
Conclusion: The proposed method makes prediction with the most of the available
high-quality data by carefully exploiting details, which are not directly
relevant for answering the question of the next year's likely expenditure.",Predicting Visit Cost of Obstructive Sleep Apnea using Electronic Healthcare Records with Transformer,2023
"Seunghyun Lee, Da Young Lee, Sujeong Im, Nan Hee Kim, Sung-Min Park",AI,2023,"With recent achievements in tasks requiring context awareness, foundation
models have been adopted to treat large-scale data from electronic health
record (EHR) systems. However, previous clinical recommender systems based on
foundation models have a limited purpose of imitating clinicians' behavior and
do not directly consider a problem of missing values. In this paper, we propose
Clinical Decision Transformer (CDT), a recommender system that generates a
sequence of medications to reach a desired range of clinical states given as
goal prompts. For this, we conducted goal-conditioned sequencing, which
generated a subsequence of treatment history with prepended future goal state,
and trained the CDT to model sequential medications required to reach that goal
state. For contextual embedding over intra-admission and inter-admissions, we
adopted a GPT-based architecture with an admission-wise attention mask and
column embedding. In an experiment, we extracted a diabetes dataset from an EHR
system, which contained treatment histories of 4788 patients. We observed that
the CDT achieved the intended treatment effect according to goal prompt ranges
(e.g., NormalA1c, LowerA1c, and HigherA1c), contrary to the case with behavior
cloning. To the best of our knowledge, this is the first study to explore
clinical recommendations from the perspective of goal prompting. See
https://clinical-decision-transformer.github.io for code and additional
information.",Clinical Decision Transformer: Intended Treatment Recommendation through Goal Prompting,2023
"Ismail Nejjar, Fabian Geissmann, Mengjie Zhao, Cees Taal, Olga Fink",AI,2023,"Effective Prognostics and Health Management (PHM) relies on accurate
prediction of the Remaining Useful Life (RUL). Data-driven RUL prediction
techniques rely heavily on the representativeness of the available
time-to-failure trajectories. Therefore, these methods may not perform well
when applied to data from new units of a fleet that follow different operating
conditions than those they were trained on. This is also known as domain
shifts. Domain adaptation (DA) methods aim to address the domain shift problem
by extracting domain invariant features. However, DA methods do not distinguish
between the different phases of operation, such as steady states or transient
phases. This can result in misalignment due to under- or over-representation of
different operation phases. This paper proposes two novel DA approaches for RUL
prediction based on an adversarial domain adaptation framework that considers
the different phases of the operation profiles separately. The proposed
methodologies align the marginal distributions of each phase of the operation
profile in the source domain with its counterpart in the target domain. The
effectiveness of the proposed methods is evaluated using the New Commercial
Modular Aero-Propulsion System (N-CMAPSS) dataset, where sub-fleets of turbofan
engines operating in one of the three different flight classes (short, medium,
and long) are treated as separate domains. The experimental results show that
the proposed methods improve the accuracy of RUL predictions compared to
current state-of-the-art DA methods.",Domain Adaptation via Alignment of Operation Profile for Remaining Useful Lifetime Prediction,2023
"Seyed Mohammad Sadegh Dashti, Seyedeh Fatemeh Dashti",AI,2023,"Objective: Until now, traditional invasive approaches have been the only
means being leveraged to diagnose spinal disorders. Traditional manual
diagnostics require a high workload, and diagnostic errors are likely to occur
due to the prolonged work of physicians. In this research, we develop an expert
system based on a hybrid inference algorithm and comprehensive integrated
knowledge for assisting the experts in the fast and high-quality diagnosis of
spinal disorders.
  Methods: First, for each spinal anomaly, the accurate and integrated
knowledge was acquired from related experts and resources. Second, based on
probability distributions and dependencies between symptoms of each anomaly, a
unique numerical value known as certainty effect value was assigned to each
symptom. Third, a new hybrid inference algorithm was designed to obtain
excellent performance, which was an incorporation of the Backward Chaining
Inference and Theory of Uncertainty.
  Results: The proposed expert system was evaluated in two different phases,
real-world samples, and medical records evaluation. Evaluations show that in
terms of real-world samples analysis, the system achieved excellent accuracy.
Application of the system on the sample with anomalies revealed the degree of
severity of disorders and the risk of development of abnormalities in unhealthy
and healthy patients. In the case of medical records analysis, our expert
system proved to have promising performance, which was very close to those of
experts.
  Conclusion: Evaluations suggest that the proposed expert system provides
promising performance, helping specialists to validate the accuracy and
integrity of their diagnosis. It can also serve as an intelligent educational
software for medical students to gain familiarity with spinal disorder
diagnosis process, and related symptoms.",An Expert System to Diagnose Spinal Disorders,2023
"Chen Peng, Zhengqi Dai, Guangping Xia, Yajie Niu, Yihui Lei",AI,2023,"Machine learning systems have been extensively used as auxiliary tools in
domains that require critical decision-making, such as healthcare and criminal
justice. The explainability of decisions is crucial for users to develop trust
on these systems. In recent years, the globally-consistent rule-based
summary-explanation and its max-support (MS) problem have been proposed, which
can provide explanations for particular decisions along with useful statistics
of the dataset. However, globally-consistent summary-explanations with limited
complexity typically have small supports, if there are any. In this paper, we
propose a relaxed version of summary-explanation, i.e., the $q$-consistent
summary-explanation, which aims to achieve greater support at the cost of
slightly lower consistency. The challenge is that the max-support problem of
$q$-consistent summary-explanation (MSqC) is much more complex than the
original MS problem, resulting in over-extended solution time using standard
branch-and-bound solvers. To improve the solution time efficiency, this paper
proposes the weighted column sampling~(WCS) method based on solving smaller
problems by sampling variables according to their simplified increase support
(SIS) values. Experiments verify that solving MSqC with the proposed SIS-based
WCS method is not only more scalable in efficiency, but also yields solutions
with greater support and better global extrapolation effectiveness.",Explaining with Greater Support: Weighted Column Sampling Optimization for q-Consistent Summary-Explanations,2023
Jeffrey W. Johnston,AI,2023,"AI constructivism as inspired by Jean Piaget, described and surveyed by Frank
Guerin, and representatively implemented by Gary Drescher seeks to create
algorithms and knowledge structures that enable agents to acquire, maintain,
and apply a deep understanding of the environment through sensorimotor
interactions. This paper aims to increase awareness of constructivist AI
implementations to encourage greater progress toward enabling lifelong learning
by machines. It builds on Guerin's 2008 ""Learning Like a Baby: A Survey of AI
approaches."" After briefly recapitulating that survey, it summarizes subsequent
progress by the Guerin referents, numerous works not covered by Guerin (or
found in other surveys), and relevant efforts in related areas. The focus is on
knowledge representations and learning algorithms that have been used in
practice viewed through lenses of Piaget's schemas, adaptation processes, and
staged development. The paper concludes with a preview of a simple framework
for constructive AI being developed by the author that parses concepts from
sensory input and stores them in a semantic memory network linked to episodic
data. Extensive references are provided.",The Construction of Reality in an AI: A Review,2023
"Jiawen Deng, Hao Sun, Zhexin Zhang, Jiale Cheng, Minlie Huang",AI,2023,"With the development of artificial intelligence, dialogue systems have been
endowed with amazing chit-chat capabilities, and there is widespread interest
and discussion about whether the generated contents are socially beneficial. In
this paper, we present a new perspective of research scope towards building a
safe, responsible, and modal dialogue system, including 1) abusive and toxic
contents, 2) unfairness and discrimination, 3) ethics and morality issues, and
4) risk of misleading and privacy information. Besides, we review the
mainstream methods for evaluating the safety of large models from the
perspectives of exposure and detection of safety issues. The recent advances in
methodologies for the safety improvement of both end-to-end dialogue systems
and pipeline-based models are further introduced. Finally, we discussed six
existing challenges towards responsible AI: explainable safety monitoring,
continuous learning of safety issues, robustness against malicious attacks,
multimodal information processing, unified research framework, and
multidisciplinary theory integration. We hope this survey will inspire further
research toward safer dialogue systems.","Recent Advances towards Safe, Responsible, and Moral Dialogue Systems: A Survey",2023
"Zirong Chen, Issa Li, Haoxiang Zhang, Sarah Preum, John A. Stankovic, Meiyi Ma",AI,2023,"An increasing number of monitoring systems have been developed in smart
cities to ensure that the real-time operations of a city satisfy safety and
performance requirements. However, many existing city requirements are written
in English with missing, inaccurate, or ambiguous information. There is a high
demand for assisting city policymakers in converting human-specified
requirements to machine-understandable formal specifications for monitoring
systems. To tackle this limitation, we build CitySpec, the first intelligent
assistant system for requirement specification in smart cities. To create
CitySpec, we first collect over 1,500 real-world city requirements across
different domains (e.g., transportation and energy) from over 100 cities and
extract city-specific knowledge to generate a dataset of city vocabulary with
3,061 words. We also build a translation model and enhance it through
requirement synthesis and develop a novel online learning framework with
shielded validation. The evaluation results on real-world city requirements
show that CitySpec increases the sentence-level accuracy of requirement
specification from 59.02% to 86.64%, and has strong adaptability to a new city
and a new domain (e.g., the F1 score for requirements in Seattle increases from
77.6% to 93.75% with online learning). After the enhancement from the shield
function, CitySpec is now immune to most known textual adversarial inputs
(e.g., the attack success rate of DeepWordBug after the shield function is
reduced to 0% from 82.73%). We test the CitySpec with 18 participants from
different domains. CitySpec shows its strong usability and adaptability to
different domains, and also its robustness to malicious inputs.",CitySpec with Shield: A Secure Intelligent Assistant for Requirement Formalization,2023
"Yuya Takada, Tsuyoshi Kato",AI,2023,"Monitoring microbiological behaviors in water is crucial to manage public
health risk from waterborne pathogens, although quantifying the concentrations
of microbiological organisms in water is still challenging because
concentrations of many pathogens in water samples may often be below the
quantification limit, producing censoring data. To enable statistical analysis
based on quantitative values, the true values of non-detected measurements are
required to be estimated with high precision. Tobit model is a well-known
linear regression model for analyzing censored data. One drawback of the Tobit
model is that only the target variable is allowed to be censored. In this
study, we devised a novel extension of the classical Tobit model, called the
\emph{multi-target Tobit model}, to handle multiple censored variables
simultaneously by introducing multiple target variables. For fitting the new
model, a numerical stable optimization algorithm was developed based on
elaborate theories. Experiments conducted using several real-world water
quality datasets provided an evidence that estimating multiple columns jointly
gains a great advantage over estimating them separately.",Multi-Target Tobit Models for Completing Water Quality Data,2023
"Yiqi Zhao, Ziyan An, Xuqing Gao, Ayan Mukhopadhyay, Meiyi Ma",AI,2023,"Smart cities operate on computational predictive frameworks that collect,
aggregate, and utilize data from large-scale sensor networks. However, these
frameworks are prone to multiple sources of data and algorithmic bias, which
often lead to unfair prediction results. In this work, we first demonstrate
that bias persists at a micro-level both temporally and spatially by studying
real city data from Chattanooga, TN. To alleviate the issue of such bias, we
introduce Fairguard, a micro-level temporal logic-based approach for fair smart
city policy adjustment and generation in complex temporal-spatial domains. The
Fairguard framework consists of two phases: first, we develop a static
generator that is able to reduce data bias based on temporal logic conditions
by minimizing correlations between selected attributes. Then, to ensure
fairness in predictive algorithms, we design a dynamic component to regulate
prediction results and generate future fair predictions by harnessing logic
rules. Evaluations show that logic-enabled static Fairguard can effectively
reduce the biased correlations while dynamic Fairguard can guarantee fairness
on protected groups at run-time with minimal impact on overall performance.",Fairguard: Harness Logic-based Fairness Rules in Smart Cities,2023
